COLOR,COMPKEY,FEEDERDIAM,FEEDERLEN,INSTDATE,MFGKEY,OUTLSZ1,OUTLSZ2,OUTLSZ3,PRESZONE,UNITTYPE,LONGKEY,PLUGGED,NONSCHE,FZONENUM,DECLREQD,HYMARKER,Letters,FLSHFRE_DAYS
BLUE,3272.0,0.0,1.2,2001-09-27 11:46:00,1117,63,63,0,4,HYBLWF,N,N,N,FZ-C02,Y,N,S,180
BLUE,5156.0,0.0,1.0,2005-11-04 12:27:00,1022,63,63,0,5,HYBLWF,N,N,N,FZ-C02,N,Y,B,365
BLUE,5374.0,0.0,1.0,2008-07-08 10:24:00,1004,63,150,63,5,HYBLWF,N,N,N,FZ-C03,N,N,B,365
BLUE,6204.0,0.0,1.2,2005-03-16 12:23:00,1004,63,63,0,6,HYBLWF,N,N,N,FZ-C02,Y,Y,B,365
GREEN,6205.0,0.0,1.0,2004-12-29 12:21:00,1022,63,63,0,6,HYBLWF,N,N,N,FZ-C03,N,Y,B,365
BLUE,6426.0,0.0,2.0,2008-09-18 11:54:00,1004,63,63,0,6,HYBLWF,N,N,N,FZ-C02,Y,N,B,365
BLUE,6672.0,0.0,1.2,2001-07-13 12:30:00,1012,63,150,63,4,HYBLWF,N,N,N,FZ-C02,Y,N,B,365
GREEN,6688.0,0.0,1.2,2008-10-29 08:33:00,1009,63,150,63,5,HYBLWF,N,N,N,FZ-C03,N,Y,B,365
BLUE,6690.0,0.0,1.4,2008-09-23 09:50:00,1022,63,150,63,5,HYBLWF,N,N,N,FZ-C03,N,Y,B,180
BLUE,6692.0,0.0,1.0,2008-10-27 07:45:00,1022,63,63,0,5,HYBLWF,N,N,N,FZ-C03,N,y,B,365
BLUE,6695.0,0.0,1.0,2008-11-14 08:27:00,1022,63,63,0,6,HYBLWF,N,N,N,FZ-C02,Y,N,B,365
BLUE,6696.0,0.0,1.0,2008-10-02 10:32:00,1022,63,63,0,6,HYBLWF,N,N,N,FZ-C02,N,Y,B,365
BLUE,6712.0,0.0,1.3,2008-11-10 07:39:00,1012,63,150,63,5,HYBLWF,N,N,N,FZ-C03,N,Y,B,365
BLUE,640830.0,150.0,2.5,2004-03-21,1117,63,150,63,4,HYBLWF,N,N,N,FZ-C03,Y,Y,B,3
BLUE,4753.0,0.0,1.2,2007-10-12 08:16:00,1022,63,150,63,5,HYBLWF,N,N,N,FZ-C03,N,N,B,365
ORANGE,4757.0,0.0,0.9,2008-07-17 12:51:00,1012,63,63,0,5,HYBLWF,N,N,N,FZ-C02,N,Y,B,365
BLUE,7533.0,0.0,1.4,2007-11-13 08:43:00,1009,63,150,63,5,HYBLWF,N,N,N,FZ-C03,N,Y,B,365
BLUE,7534.0,0.0,1.2,2008-05-07 08:02:00,1009,63,63,0,5,HYBLWF,N,N,N,FZ-C03,N,Y,B,365
BLUE,7545.0,0.0,1.2,2008-10-27 07:50:00,1022,63,150,63,5,HYBLWF,N,N,N,FZ-C03,N,y,B,365
